Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=256m; support was removed in 8.0
Java HotSpot(TM) 64-Bit Server VM warning: ignoring option PermSize=256m; support was removed in 8.0
Java HotSpot(TM) 64-Bit Server VM warning: ignoring option CMSTriggerPermRatio=80; support was removed in 8.0
Java HotSpot(TM) 64-Bit Server VM warning: CMSFullGCsBeforeCompaction is deprecated and will likely be removed in a future release.
Java HotSpot(TM) 64-Bit Server VM warning: Failed to reserve shared memory (errno = 22).
Java HotSpot(TM) 64-Bit Server VM warning: Failed to reserve shared memory (errno = 1).
0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
39   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/ypeilin/DRC_Project/solr-4.10.0/example/contexts at interval 0
49   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/ypeilin/DRC_Project/solr-4.10.0/example/contexts/solr-jetty-context.xml
1164 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1240 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
1269 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
1269 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/ypeilin/DRC_Project/solr-4.10.0/example/solr
1277 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/ypeilin/DRC_Project/solr-4.10.0/example/solr/'
1451 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/ypeilin/DRC_Project/solr-4.10.0/example/solr/solr.xml
1705 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /home/ypeilin/DRC_Project/solr-4.10.0/example/solr
1729 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 1259174396
1729 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/ypeilin/DRC_Project/solr-4.10.0/example/solr/]
1750 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
1750 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
